Wall time,Step,Value
1787559501.6485202,256,-375.4588317871094
1787559502.464176,768,-331.8437194824219
1787559502.9716487,1024,-353.6742858886719
1787559503.459056,1280,-396.8548583984375
1787559504.7212176,2048,-382.5285949707031
1787559505.466975,2560,-404.5890808105469
1787559505.9163456,2816,-391.1764831542969
1787559506.3238044,3072,-371.7272033691406
1787559507.1574523,3584,-357.98822021484375
1787559507.5811372,3840,-344.9129333496094
1787559507.9240332,4096,-330.3211364746094
1787559508.3161325,4352,-319.68890380859375
1787559508.672194,4608,-312.9064025878906
1787559509.1291175,4864,-300.71112060546875
1787559509.504306,5120,-288.05902099609375
1787559509.9019053,5376,-282.21051025390625
1787559510.3319006,5632,-272.5217590332031
1787559510.7255013,5888,-262.3817138671875
1787559511.31619,6144,-257.99420166015625
1787559512.1199088,6656,-242.12510681152344
1787559512.555318,6912,-234.70046997070312
1787559512.979284,7168,-231.46810913085938
1787559513.4052978,7424,-225.95175170898438
1787559513.805182,7680,-221.27828979492188
1787559514.2732089,7936,-219.17176818847656
1787559514.7372422,8192,-214.3501739501953
1787559515.150287,8448,-209.39443969726562
1787559515.6262999,8704,-204.8006134033203
1787559516.138029,8960,-202.4590606689453
1787559516.5354552,9216,-198.1744842529297
1787559516.9384313,9472,-194.4849395751953
1787559517.350954,9728,-192.66754150390625
1787559517.7471402,9984,-189.46351623535156
1787559518.1713178,10240,-185.8849334716797
1787559518.4748511,10496,-184.13424682617188
1787559519.2838233,11008,-178.15582275390625
1787559519.6287115,11264,-175.13987731933594
1787559520.8664656,12032,-170.1791229248047
1787559521.2565455,12288,-169.70199584960938
1787559521.5896785,12544,-167.5946807861328
1787559522.0152335,12800,-165.78306579589844
1787559522.340326,13056,-163.75790405273438
1787559522.736421,13312,-162.66262817382812
1787559523.166171,13568,-160.83905029296875
1787559523.5437906,13824,-159.08726501464844
1787559523.9937956,14080,-158.02854919433594
1787559524.344843,14336,-156.57049560546875
1787559525.1476111,14848,-153.83909606933594
1787559525.5927386,15104,-152.85855102539062
1787559526.3637538,15616,-143.71815490722656
1787559526.7204053,15872,-140.42361450195312
1787559527.0709028,16128,-135.10133361816406
1787559527.4836488,16384,-123.82976531982422
1787559528.2643733,16896,-113.81890106201172
1787559528.6880767,17152,-111.70516204833984
1787559529.1248405,17408,-101.50159454345703
1787559529.471027,17664,-97.77165985107422
1787559529.9491515,17920,-94.6554946899414
1787559530.4867277,18176,-92.06459045410156
1787559530.845498,18432,-89.63859558105469
1787559531.1882591,18688,-86.91852569580078
1787559531.5230143,18944,-85.3316650390625
1787559531.9703722,19200,-83.36042785644531
1787559532.4098976,19456,-82.7165756225586
1787559532.8083506,19712,-82.49928283691406
1787559533.19764,19968,-81.86186981201172
1787559533.5703745,20224,-81.97425079345703
1787559533.9557447,20480,-81.16691589355469
1787559534.42869,20736,-81.81886291503906
1787559534.8474827,20992,-81.96867370605469
1787559535.2901762,21248,-81.91370391845703
1787559535.6563895,21504,-81.34054565429688
1787559536.0676289,21760,-81.30921173095703
1787559536.4585247,22016,-81.42684936523438
1787559536.8072762,22272,-82.05701446533203
1787559537.177282,22528,-80.82173156738281
1787559537.531444,22784,-80.6275405883789
1787559537.9619455,23040,-80.3070297241211
1787559538.3461668,23296,-79.8873062133789
1787559539.2427483,23808,-79.67807006835938
1787559540.1103313,24320,-79.94117736816406
1787559540.654923,24576,-79.74251556396484
1787559541.2017567,24832,-80.06148529052734
1787559542.079454,25344,-80.3224868774414
1787559542.5432658,25600,-80.82498931884766
1787559543.0423284,25856,-80.88385772705078
1787559543.455314,26112,-81.13702392578125
1787559544.309442,26624,-81.90299224853516
1787559544.8470414,26880,-81.23738861083984
1787559545.584117,27136,-80.84854125976562
1787559546.0261474,27392,-80.9748306274414
1787559546.4861033,27648,-81.18335723876953
1787559547.1575143,27904,-81.2012710571289
1787559547.7996619,28160,-81.48106384277344
1787559548.4547002,28416,-81.97980499267578
1787559549.0122554,28672,-81.7717056274414
1787559549.5323281,28928,-81.57015228271484
1787559550.5077512,29440,-82.6341552734375
1787559550.9280136,29696,-82.70414733886719
1787559551.394409,29952,-83.02049255371094
1787559551.8846815,30208,-82.73805236816406
1787559552.4055476,30464,-82.59957885742188
1787559552.8884084,30720,-82.31192016601562
1787559553.3464108,30976,-82.58486938476562
1787559553.741594,31232,-82.78189849853516
1787559554.3029423,31488,-82.85803985595703
1787559554.7864547,31744,-83.32211303710938
1787559555.6301079,32256,-82.95887756347656
1787559556.2175984,32512,-82.80474853515625
1787559556.669726,32768,-82.80233001708984
1787559557.1842992,33024,-83.44795989990234
1787559557.6232867,33280,-83.08259582519531
1787559558.090779,33536,-82.9056167602539
1787559558.6874635,33792,-82.49173736572266
1787559559.1924407,34048,-82.36994934082031
1787559560.1340752,34560,-81.6693115234375
1787559560.8903873,35072,-81.55817413330078
1787559561.419211,35328,-82.2898941040039
1787559562.0594876,35584,-81.39248657226562
1787559562.643746,35840,-81.29964447021484
1787559563.1943505,36096,-82.22071838378906
1787559563.592522,36352,-81.71910858154297
1787559564.1266928,36608,-81.90897369384766
1787559564.6198428,36864,-82.05244445800781
1787559565.136275,37120,-81.22948455810547
1787559565.628947,37376,-81.87249755859375
1787559566.147254,37632,-82.26518249511719
1787559566.5454338,37888,-83.28380584716797
1787559567.0741193,38144,-83.66799926757812
1787559568.1226466,38656,-83.73873901367188
1787559569.2150154,39168,-84.30670166015625
1787559569.7156472,39424,-84.68923950195312
1787559570.1512759,39680,-84.57510375976562
1787559571.1514325,40192,-84.31297302246094
1787559571.6412294,40448,-83.91177368164062
1787559572.050288,40704,-83.98188018798828
1787559572.4989712,40960,-84.28616333007812
1787559572.9357376,41216,-83.84721374511719
1787559573.3898425,41472,-83.59489440917969
1787559573.8728604,41728,-84.2486801147461
1787559574.2913074,41984,-84.4350814819336
1787559574.792212,42240,-84.11290740966797
1787559575.2828639,42496,-83.79112243652344
1787559575.7404876,42752,-83.4253921508789
1787559576.5664682,43264,-82.96491241455078
1787559577.0011878,43520,-82.99418640136719
1787559577.433173,43776,-82.8985595703125
1787559578.0949452,44032,-83.122802734375
1787559578.7052023,44288,-82.08296203613281
1787559579.2108285,44544,-81.49361419677734
1787559579.7316377,44800,-81.97470092773438
1787559580.2681558,45056,-82.49596405029297
1787559580.7716281,45312,-82.93368530273438
1787559581.2644737,45568,-83.42103576660156
1787559581.8302112,45824,-82.87643432617188
1787559582.7651277,46336,-83.28174591064453
1787559583.2995262,46592,-82.98693084716797
1787559583.7834797,46848,-82.77056884765625
1787559584.3751838,47104,-83.09464263916016
1787559584.802316,47360,-82.93482971191406
1787559585.2590606,47616,-83.58822631835938
1787559585.7347996,47872,-83.5608901977539
1787559587.1182537,48640,-84.86144256591797
1787559587.6007504,48896,-84.86641693115234
1787559588.1050582,49152,-85.10523986816406
1787559588.4721014,49408,-86.1797866821289
1787559589.0204058,49664,-86.21792602539062
1787559589.5858366,49920,-86.73304748535156
1787559590.065164,50176,-85.84561157226562
1787559591.0110998,50688,-85.99363708496094
1787559591.538929,50944,-85.93157958984375
1787559591.992476,51200,-85.3397216796875
1787559592.5024002,51456,-86.13453674316406
1787559593.4942808,51968,-86.55207824707031
1787559593.9181383,52224,-86.54287719726562
1787559594.3602498,52480,-85.87763214111328
1787559594.8212447,52736,-85.48507690429688
1787559595.3566234,52992,-85.64838409423828
1787559595.7957852,53248,-84.94635772705078
1787559596.208418,53504,-84.49995422363281
1787559596.6793828,53760,-85.18548583984375
1787559597.1770735,54016,-84.90953063964844
1787559597.7151375,54272,-85.47855377197266
1787559598.6788769,54784,-85.43901062011719
1787559599.1774118,55040,-85.5045166015625
1787559599.6410923,55296,-85.22772216796875
1787559600.1332061,55552,-85.5
1787559601.177895,56064,-85.61872100830078
1787559601.7193992,56320,-85.28068542480469
1787559602.200573,56576,-84.6085205078125
1787559602.6561205,56832,-84.6021957397461
1787559603.130949,57088,-84.24462890625
1787559603.5904331,57344,-84.81294250488281
1787559603.9463894,57600,-85.01130676269531
1787559604.3861434,57856,-85.09028625488281
1787559604.7966921,58112,-84.88958740234375
1787559606.192998,58880,-84.91570281982422
1787559606.726526,59136,-84.63916015625
1787559607.1948674,59392,-84.79530334472656
1787559607.7121046,59648,-84.42459869384766
1787559608.0776432,59904,-83.57612609863281
1787559608.6209261,60160,-83.72765350341797
1787559609.0343187,60416,-83.1382064819336
1787559609.5411131,60672,-83.30638122558594
1787559610.016953,60928,-83.22041320800781
1787559610.5265508,61184,-82.71056365966797
1787559610.97236,61440,-82.82091522216797
1787559611.9241989,61952,-82.8598403930664
1787559612.427106,62208,-82.26307678222656
1787559612.8460398,62464,-81.71758270263672
1787559613.303623,62720,-81.88562774658203
1787559613.7145443,62976,-81.77172088623047
1787559614.2220647,63232,-82.2658462524414
1787559614.6458225,63488,-81.43584442138672
1787559615.0205317,63744,-81.32425689697266
1787559615.356709,64000,-81.09808349609375
1787559616.7776341,64768,-80.79781341552734
1787559617.215398,65024,-80.42799377441406
1787559617.6131184,65280,-80.64376831054688
1787559618.1150851,65536,-80.69410705566406
1787559619.0539248,66048,-80.89430236816406
1787559619.590549,66304,-80.3778305053711
1787559620.0748484,66560,-80.5024185180664
1787559620.6427536,66816,-81.12330627441406
1787559621.4226804,67328,-81.17826843261719
1787559621.8578243,67584,-81.32618713378906
1787559622.8025239,68096,-80.60603332519531
1787559623.7400756,68608,-81.10193634033203
1787559624.2648509,68864,-80.51265716552734
1787559625.3219209,69376,-79.8880386352539
1787559625.7283683,69632,-79.44752502441406
1787559626.5809283,70144,-79.68617248535156
1787559626.9416375,70400,-78.87442779541016
1787559627.3790946,70656,-78.88124084472656
1787559627.9188728,70912,-79.45618438720703
1787559628.8916836,71424,-80.34352111816406
1787559629.4392314,71680,-80.40354919433594
1787559629.8962095,71936,-79.72628784179688
1787559630.3752625,72192,-79.43914031982422
1787559630.8011947,72448,-79.27040100097656
1787559631.2705836,72704,-79.68855285644531
1787559631.6929667,72960,-79.27685546875
1787559632.090573,73216,-79.0749740600586
1787559632.5378432,73472,-79.35276794433594
1787559633.0182889,73728,-79.26166534423828
1787559633.5141227,73984,-78.93440246582031
1787559634.0147276,74240,-78.8907241821289
1787559634.423492,74496,-79.2896957397461
1787559634.9116292,74752,-79.69002532958984
1787559635.3583,75008,-79.4427719116211
1787559636.1922057,75520,-79.5781478881836
1787559636.7781982,75776,-78.79912567138672
1787559637.2776122,76032,-79.0114517211914
1787559637.7308016,76288,-78.70343017578125
1787559638.2450507,76544,-78.73689270019531
1787559638.7037227,76800,-78.46481323242188
1787559639.1510823,77056,-78.46884155273438
1787559639.6343577,77312,-79.36219787597656
1787559640.1374288,77568,-79.37785339355469
1787559640.628901,77824,-79.32528686523438
1787559641.0429928,78080,-80.06355285644531
1787559641.5563736,78336,-79.53852844238281
1787559642.0742946,78592,-79.64622497558594
1787559642.6081982,78848,-79.6363296508789
1787559643.124274,79104,-80.69623565673828
1787559643.579926,79360,-80.28137969970703
1787559644.4934576,79872,-81.31874084472656
1787559644.9544668,80128,-81.35264587402344
1787559645.4426315,80384,-81.13492584228516
1787559645.9584649,80640,-81.34803771972656
1787559646.4069068,80896,-81.01081848144531
1787559646.9044771,81152,-81.26354217529297
1787559647.8747733,81664,-80.69739532470703
1787559648.3339608,81920,-80.25308227539062
1787559648.8244474,82176,-79.98284149169922
1787559649.2112622,82432,-79.71915435791016
1787559649.6655214,82688,-79.97290802001953
1787559650.49611,83200,-79.88705444335938
1787559651.0296023,83456,-79.87615203857422
1787559651.603903,83712,-79.0861587524414
1787559652.0550613,83968,-78.85572814941406
1787559652.4857273,84224,-79.07072448730469
1787559652.9207466,84480,-79.75069427490234
1787559653.4306846,84736,-80.18113708496094
1787559653.90357,84992,-80.72328186035156
1787559654.3719568,85248,-80.33126068115234
1787559654.9023094,85504,-80.16131591796875
1787559655.4185512,85760,-80.21552276611328
1787559655.8814597,86016,-79.30138397216797
1787559656.4274158,86272,-79.23103332519531
1787559656.9435813,86528,-79.49737548828125
1787559657.421176,86784,-80.42680358886719
1787559658.3156946,87296,-80.13768005371094
1787559658.7829933,87552,-80.31782531738281
1787559659.3075078,87808,-80.38058471679688
1787559659.7589524,88064,-80.41650390625
1787559660.1882877,88320,-80.4209976196289
1787559660.6732357,88576,-79.8856201171875
1787559661.1560833,88832,-80.36995697021484
1787559661.6824718,89088,-80.36180114746094
1787559662.1582124,89344,-79.82450103759766
1787559662.6602814,89600,-79.70417785644531
1787559663.1454465,89856,-79.63611602783203
1787559664.0186906,90368,-79.45307159423828
1787559664.4576292,90624,-79.86103820800781
1787559664.941519,90880,-80.06073760986328
1787559665.4216385,91136,-80.00479888916016
1787559666.4007578,91648,-79.93971252441406
1787559666.8772306,91904,-80.43354797363281
1787559667.8718896,92416,-79.63998413085938
1787559668.3958516,92672,-79.29949951171875
1787559668.903105,92928,-79.02642822265625
1787559669.4168856,93184,-78.4952163696289
1787559669.9331915,93440,-78.95442962646484
1787559670.4302359,93696,-78.27690887451172
1787559670.903181,93952,-78.05439758300781
1787559671.378334,94208,-77.26952362060547
1787559671.946365,94464,-77.13459777832031
1787559672.3891106,94720,-76.3736801147461
1787559673.874005,95488,-76.2154312133789
1787559674.2820492,95744,-75.65489959716797
1787559674.8070562,96000,-75.49256896972656
1787559675.2846892,96256,-76.04347229003906
1787559675.6731281,96512,-75.46666717529297
1787559676.2090473,96768,-75.75865936279297
1787559676.6446035,97024,-75.6800308227539
1787559677.136781,97280,-75.57769775390625
1787559677.9871302,97792,-75.28044128417969
1787559678.430871,98048,-75.45620727539062
1787559679.392125,98560,-75.56961059570312
1787559679.8022017,98816,-75.55289459228516
1787559680.2347622,99072,-75.55537414550781
1787559681.7024791,99840,-74.55400848388672
1787559682.1783125,100096,-74.78485870361328
1787559682.665757,100352,-75.11042022705078
1787559683.2662983,100608,-75.75154876708984
1787559683.7487626,100864,-75.87020111083984
1787559684.270098,101120,-75.77552795410156
1787559684.7731493,101376,-75.31192016601562
1787559685.2774067,101632,-75.33241271972656
1787559685.779705,101888,-75.50052642822266
1787559686.2195673,102144,-75.47815704345703
1787559686.6865268,102400,-75.38143157958984
1787559687.0723372,102656,-75.12472534179688
1787559687.413142,102912,-75.0482406616211
1787559687.9473057,103168,-75.15604400634766
1787559688.3599355,103424,-75.56529998779297
